"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_94","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","bacterium"
"ASV_95","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-006","NA"
"ASV_96","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2","NA"
"ASV_97","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","NA"
"ASV_98","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA"
"ASV_99","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus","NA"
"ASV_100","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Herbinix","NA"
"ASV_101","Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","NA","NA","NA"
"ASV_102","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_103","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA"
"ASV_104","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA"
"ASV_105","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_FCS020_group","NA"
"ASV_106","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_107","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","muris"
"ASV_108","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA"
"ASV_109","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356","NA"
"ASV_110","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_111","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2","NA"
"ASV_112","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_113","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_114","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575","NA"
"ASV_115","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","NA"
"ASV_116","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA"
"ASV_117","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-001","NA"
"ASV_118","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_119","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_120","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","NA","NA","NA"
"ASV_121","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA"
"ASV_122","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-001","NA"
"ASV_123","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_124","Bacteria","Firmicutes","Bacilli","RF39","NA","NA","NA"
"ASV_125","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_UCG-001","NA"
"ASV_126","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","NA"
"ASV_127","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_128","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","NA","NA"
"ASV_129","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_130","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","NA"
"ASV_131","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","NA"
"ASV_132","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575","NA"
"ASV_133","Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","NA","NA","NA"
"ASV_134","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","NA"
"ASV_135","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_136","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_137","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_138","Bacteria","Firmicutes","Clostridia","Oscillospirales","NA","NA","NA"
"ASV_139","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_140","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","NA"
"ASV_141","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356","NA"
"ASV_142","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_143","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas","NA"
"ASV_144","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella","NA"
"ASV_145","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA"
"ASV_146","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","NA","NA","NA"
"ASV_147","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","NA"
"ASV_148","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","NA","NA"
"ASV_149","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","NA"
"ASV_150","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","NA"
"ASV_151","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_152","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NA","NA"
"ASV_153","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NA","NA"
"ASV_154","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","NA"
"ASV_155","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","NA","NA"
"ASV_156","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","NA"
"ASV_157","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_158","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","NA"
"ASV_159","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","NA"
"ASV_160","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","CAG-56","NA"
"ASV_161","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_162","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA"
"ASV_163","Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","NA","NA","NA"
"ASV_164","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group","NA"
"ASV_165","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","NA"
"ASV_166","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"ASV_167","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA"
"ASV_168","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_169","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NA","NA"
"ASV_170","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_171","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Candidatus_Arthromitus","NA"
"ASV_172","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","NA","NA","NA"
"ASV_173","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","NA"
"ASV_174","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","danieliae"
"ASV_175","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_176","Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","NA","NA","NA"
"ASV_177","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA"
"ASV_178","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","NA","NA","NA"
"ASV_179","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA"
"ASV_180","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_181","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA"
"ASV_182","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","NA"
"ASV_183","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","NA"
"ASV_184","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4B4_group","NA"
"ASV_185","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA"
"ASV_186","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_187","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA"
"ASV_188","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","NA"
"ASV_189","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-006","NA"
"ASV_190","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","NA","NA","NA"
"ASV_191","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NA","NA"
"ASV_192","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","NA","NA"
"ASV_193","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA"
"ASV_194","Bacteria","Firmicutes","Clostridia","NA","NA","NA","NA"
"ASV_195","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","NA","NA"
"ASV_196","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_197","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","NA"
"ASV_198","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria","meningitidis"
"ASV_199","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-004","NA"
"ASV_200","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","NA"
"ASV_201","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_202","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","NA"
"ASV_203","Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","NA","NA","NA"
"ASV_204","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA"
"ASV_205","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","NA","NA","NA"
"ASV_206","Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","NA","NA","NA"
"ASV_207","Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","NA","NA","NA"
"ASV_208","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-006","NA"
"ASV_209","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","NA","NA","NA"
"ASV_210","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","NA"
"ASV_211","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","NA"
"ASV_212","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","NA"
"ASV_213","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_AD3011_group","NA"
"ASV_214","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","NA","NA"
"ASV_215","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","NA"
"ASV_216","Bacteria","Firmicutes","Bacilli","RF39","NA","NA","NA"
"ASV_217","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575","NA"
"ASV_218","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_219","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4B4_group","NA"
"ASV_220","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA"
"ASV_221","Bacteria","Firmicutes","Bacilli","RF39","NA","NA","NA"
"ASV_222","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family_XIII_UCG-001","NA"
"ASV_223","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","NA"
"ASV_224","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis","NA"
"ASV_225","Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","NA","NA","NA"
"ASV_226","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","NA","NA","NA"
"ASV_227","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","radiodurans"
"ASV_228","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","NA","NA"
"ASV_229","Bacteria","Firmicutes","Clostridia","Lachnospirales","Defluviitaleaceae","Defluviitaleaceae_UCG-011","NA"
"ASV_230","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA"
"ASV_231","Bacteria","Firmicutes","Bacilli","RF39","NA","NA","NA"
